,str_player_name,str_positions,dt_date_of_birth,int_best_overall_rating,age,new_column,new_column_plus
8655,Michael Devlin,CB,1993-10-03,68,27,1,6
8656,Josu Ozkoidi Alba,"LB, LM",1990-04-23,66,31,1,6
8657,Jóbson de Brito Gonzaga,CB,1994-04-27,68,27,1,6
8658,Kenneth Ina Dorothea Taylor,CM,2002-05-16,69,19,1,6
8659,André Calisir,CB,1990-06-13,66,31,1,6
8660,Admilson Estaline Dias de Barros,CB,1988-02-24,66,33,1,6
8661,Carlos Alonso Vargas Tenorio,"LB, CB",1999-02-14,68,22,1,6
8662,Michael Francis O'Halloran,"RM, ST",1991-01-06,66,30,1,6
8663,Tony Watt,ST,1993-12-29,68,27,1,6
8664,Neluț Stelian Roșu,"CM, CDM",1993-07-05,68,28,1,6
8665,Hans Jorge Mulder,"CB, CDM",1987-04-27,66,34,1,6
8666,Jack Hendry,CB,1995-05-07,68,26,1,6
8667,Romário Santos Pires,"CDM, CM",1989-01-16,66,32,1,6
8668,Etienne Vaessen,GK,1995-07-26,66,26,1,6
8669,Blas Esteban Armoa Núñez,"RW, ST",2000-02-03,66,21,1,6
8670,Marco Grüll,"ST, RM, LM",1998-07-06,68,23,1,6
8671,Michael Harriman,"RB, LB, RWB",1992-10-23,66,28,1,6
8672,Anas Tahiri,"CAM, CM, LW",1995-05-15,69,26,1,6
8673,Braydon Marvin Manu,LM,1997-03-28,67,24,1,6
8674,Tomislav Štrkalj,ST,1996-08-02,68,25,1,6
8675,Rafał Pietrzak,LB,1992-01-30,66,29,1,6
8676,Stijn Spierings,"CM, CAM",1996-03-12,68,25,1,6
8677,Branco van den Boomen,"CM, CDM",1995-07-21,68,26,1,6
8678,Tahith Chong,"LM, RM",1999-12-04,67,21,1,6
8679,Michiel Kramer,ST,1988-12-03,66,32,1,6
8680,Dorian Diring,"LM, CM",1992-04-11,66,29,1,6
8681,Silvan Eli Sidler,"LB, RB",1998-07-07,66,23,1,6
8682,Sergio López Galache,RB,1999-04-08,66,22,1,6
8683,Christian Kühlwetter,"ST, RM, LM",1996-04-21,68,25,1,6
8684,Angelo Smit Preciado Quiñónez,"RB, LB, RM",1998-02-18,68,23,1,6
8685,Ali Abdi,LB,1993-12-20,67,27,1,6
8686,John Brayford,"RB, CB",1987-12-29,66,33,1,6
8687,James McKeown,GK,1989-07-24,66,32,1,6
8688,Juan José Aguilar Orzuza,"CDM, CM",1989-06-24,66,32,1,6
8689,Sadek Jordan Chebel Faucher,ST,1991-11-06,66,29,1,6
8690,Gabriel Alejandro Hachen,ST,1990-10-16,68,30,1,6
8691,Jorge Grant,LM,1994-09-26,66,26,1,6
8692,Yairo Yesid Moreno Berrío,"LB, LM, CAM",1995-04-04,69,26,1,6
8693,Grant Leadbitter,"CDM, CM",1986-01-07,66,35,1,6
8694,Juan Mackay Abad,GK,1986-07-14,66,35,1,6
8695,El Bilal Touré,ST,2001-10-03,68,19,1,6
8696,Mario Jurčević,"LB, LM",1995-06-01,67,26,1,6
8697,Ían Jairo Misael Torres Ramírez,LM,2000-06-05,68,21,1,6
8698,Mohammed Abubakari,"CDM, CM",1986-02-15,66,35,1,6
8699,Denis Prychynenko,"CB, CDM",1992-02-17,67,29,1,6
8700,Hannes Þór Halldórsson,GK,1984-04-27,66,37,1,6
8701,遠藤 翼,"RM, LM, CM",1993-08-20,66,28,1,6
8702,Marco Farfan,"LB, CB, CDM",1998-11-12,66,22,1,6
8703,Hubert Matynia,LB,1995-11-04,66,25,1,6
8704,Sergiy Bolbat,RB,1993-06-13,71,28,1,6
8705,Larry Johan Angulo Riascos,"CM, CDM",1995-08-10,68,26,1,6
8706,Adam Frączczak,"ST, RM",1987-08-07,66,34,1,6
8707,Bright Osagie Edomwonyi,"ST, LM",1994-07-24,68,27,1,6
8708,Lenny Jean-Pierre Pintor,"LM, RM",2000-08-05,68,21,1,6
8709,Amine Atouchi,CB,1992-01-07,68,29,1,6
8710,Jesse Tamunobaraboye Sekidika,"RM, RW, CF",1996-07-14,67,25,1,6
8711,Kristoffer Barmen,CM,1993-08-19,68,28,1,6
8712,Noah Sonko Sundberg,"CB, RB",1996-06-06,68,25,1,6
8713,于睿,CB,1992-08-11,68,29,1,6
8714,Charlie Kirk,LW,1997-12-24,68,23,1,6
8715,Jerome Opoku,"LB, CB",1998-10-14,66,22,1,6
8716,Lindon Selahi,CM,1999-02-26,70,22,1,6
8717,Louka Daniel Prip Andreasen,RM,1997-06-29,67,24,1,6
8718,Paul Alexandru Iacob,"CB, CM",1996-06-21,68,25,1,6
8719,Tommy Høiland,ST,1989-04-11,66,32,1,6
8720,鈴木 孝司,ST,1989-07-25,66,32,1,6
8721,Matej Oravec,"CDM, CB, RB",1998-03-30,67,23,1,6
8722,Tunahan Çiçek,"CAM, ST",1992-05-12,67,29,1,6
8723,Nazario Otávio Serpe Cachoeira,"CDM, CB",1992-02-29,66,29,1,6
8724,David Cubillas Peña,ST,1990-06-19,66,31,1,6
8725,Richard Wood,CB,1985-07-05,66,36,1,6
8726,Zak Vyner,"CB, RB, CDM",1997-05-14,68,24,1,6
8727,Emmanuel Ntim,"CB, RB",1996-03-12,68,25,1,6
8728,Maximiliano Perg Schneider,"CB, RB",1991-09-16,67,29,1,6
8729,Nicklas Helenius Jensen,ST,1991-05-08,66,30,1,6
8730,Yassin Ben Balla,"CDM, CM",1996-02-24,67,25,1,6
8731,Jugurtha Hamroun,RM,1989-01-27,66,32,1,6
8732,Tiago Barreiros de Melo Tomás,ST,2002-06-16,68,19,1,6
8733,Simon Piesinger,CB,1992-05-13,66,29,1,6
8734,Breno Vicente Laranjeiro Rosan,"CAM, ST",2000-02-29,66,21,1,6
8735,Harrison Delbridge,"CB, RB",1992-03-15,67,29,1,6
8736,Alexander Farnerud,"CM, CAM, ST",1984-05-01,66,37,1,6
8737,Tomáš Hájek,CB,1991-12-01,67,29,1,6
8738,Willer Emilio Ditta Pérez,CB,1997-01-23,68,24,1,6
8739,Mirko Boland,"CDM, CM",1987-04-23,66,34,1,6
8740,Kenny Prince Redondo,"LM, LW",1994-08-29,66,26,1,6
8741,Andrea Danzi,"CM, CDM",1999-02-25,68,22,1,6
8742,Loïc Puyo,"LW, LM, RM",1988-12-19,66,32,1,6
8743,João Pedro Almeida Machado,"CM, CDM",1993-04-03,68,28,1,6
8744,우주성 朱颂佑,"CB, RB, LB",1993-03-16,66,28,1,6
8745,Christopher Ramos de la Flor,ST,1997-01-18,68,24,1,6
8746,Samuel Dias Lino,"RW, LW",1999-12-23,67,21,1,6
8747,George Ulises Corral Ang,RB,1990-07-18,66,31,1,6
8748,Emanuel Schreiner,"LM, LWB, LB",1989-02-02,66,32,1,6
8749,Melker Hallberg,CDM,1995-10-20,67,25,1,6
8750,David Niepsuj,RB,1995-08-16,66,26,1,6
8751,Ramiro Guerra Pereyra,CDM,1997-03-21,67,24,1,6
8752,Ryan Johnson Laursen,RB,1992-04-14,66,29,1,6
8753,Nordin Jackers,GK,1997-09-05,66,23,1,6
8754,Stevie Patrick Mallan,"CM, CDM",1996-03-25,69,25,1,6
8755,Samuel Shashoua,"LM, RM, CAM",1999-05-13,67,22,1,6
8756,Vicente Esquerdo Santas,"CAM, CM",1999-01-02,68,22,1,6
8757,Stefan Kutschke,ST,1988-11-03,66,32,1,6
8758,Mirnes Pepić,"CM, CDM",1995-12-19,68,25,1,6
8759,Francisco Manuel Vélez Jiménez,"CB, CDM",1991-06-23,66,30,1,6
8760,황석호 黄锡浩,"CB, LB",1989-06-27,66,32,1,6
8761,Nikolai Alho,"RB, RW",1993-03-12,66,28,1,6
8762,Yvan Neyou Noupa,"CM, CDM",1997-01-03,68,24,1,6
8763,Damian Rasak,"CDM, CM",1996-02-08,67,25,1,6
8764,Joseph Yannick M'Boné,CB,1993-04-16,67,28,1,6
8765,Romário Baldé,"RW, LW",1996-12-25,67,24,1,6
8766,Francisco Feuillassier Ábalo,"LM, RM",1998-05-12,67,23,1,6
8767,Bartosz Białek,ST,2001-11-11,68,19,1,6
8768,Abdulaziz Al Jebreen,CDM,1990-04-19,66,31,1,6
8769,Iñaki Sáenz Arenzana,"LB, LM",1988-04-29,66,33,1,6
8770,Jhonathan Doriado,GK,1989-07-14,66,32,1,6
8771,Gianluca Korte,"CAM, LM, CF",1990-08-29,67,30,1,6
8772,Marc Andre Schmerböck,"ST, CAM, LM",1994-04-01,68,27,1,6
8773,Luis Alberto Cabrera Figueroa,"CM, CDM",1994-01-07,68,27,1,6
8774,Jean Ruiz,"CB, CDM",1998-04-06,68,23,1,6
8775,Oumar Mickael Solet Bomawoko,"CB, CDM",2000-02-07,68,21,1,6
8776,Andrey Galabinov,ST,1988-11-27,66,32,1,6
8777,Daniel Georgievski,"LB, RB",1988-02-17,66,33,1,6
8778,Carlos María Servín Caballero,GK,1987-05-24,66,34,1,6
8779,Dominik Hładun,GK,1995-09-17,66,25,1,6
8780,Luke Garbutt,"LB, LM, LWB",1993-05-21,66,28,1,6
8781,임선영 廉孙杨,"CM, CAM",1988-03-21,66,33,1,6
8782,和田 拓也,"RB, CDM, CM",1990-07-28,66,31,1,6
8783,Ángel Martínez Ortega,LB,1991-05-17,66,30,1,6
8784,Jesús David Murillo León,RB,1993-08-17,66,28,1,6
8785,茶島 雄介,"RM, CF",1991-07-20,66,30,1,6
8786,Babacar Niasse Mbaye,GK,1996-12-20,66,24,1,6
8787,Cole Skuse,"CDM, CM",1986-03-29,66,35,1,6
8788,Marc Heider,"ST, LM, RM",1986-05-18,66,35,1,6
8789,Obinna Nwobodo,"CAM, CM, RM",1996-11-29,69,24,1,6
8790,Gjermund Åsen,CM,1991-05-22,66,30,1,6
8791,Stefan Stangl,LB,1991-10-20,66,29,1,6
8792,Thomas Bruns,CM,1992-01-07,66,29,1,6
8793,Jak Alnwick,GK,1993-06-17,66,28,1,6
8794,David Wheeler,RW,1990-10-04,66,30,1,6
8795,Simone Edera,"RW, CF, CAM",1997-01-09,68,24,1,6
8796,Vito Hammershøy-Mistrati,CM,1992-06-15,66,29,1,6
8797,Han-Noah Massengo,"CM, CDM",2001-07-07,69,20,1,6
8798,Yevgen Cheberko,CB,1998-01-23,69,23,1,6
8799,Danel Sinani,"LM, RM, CAM",1997-04-05,67,24,1,6
8800,Marcus Antonsson,"ST, LW, RW",1991-05-08,66,30,1,6
8801,Beninwende Yann Jonathan Pitroipa,"CAM, RW",1986-04-12,66,35,1,6
8802,Ivan Goranov,LB,1992-06-10,66,29,1,6
8803,Quenten Geordie Felix Martinus,"RM, LM, CF",1991-03-07,66,30,1,6
8804,Borys Tashchy,"ST, CAM",1993-07-26,67,28,1,6
8805,José Adolfo Valencia Arrechea,ST,1991-12-18,66,29,1,6
8806,Óscar Arribas Pasero,"LM, RM, ST",1998-10-28,67,22,1,6
8807,Hamidou Keyta,LM,1994-12-17,68,26,1,6
8808,Fidel Escobar Mendieta,CB,1995-01-09,68,26,1,6
8809,Sikou Niakaté,"CB, LB",1999-07-10,68,22,1,6
8810,신광훈 申光勋,"RB, CB",1987-03-18,66,34,1,6
8811,Guillaume Bosca,LM,1989-10-23,67,31,1,6
8812,Rilwan Olanrewaju Hassan,"RM, RW",1991-02-09,66,30,1,6
8813,Pablo Eduardo Sisniega Fink,GK,1995-07-07,66,26,1,6
8814,三平 和司,CF,1988-01-13,66,33,1,6
8815,Cristo Jesús Romero Gómez,"LB, LM",2000-04-30,66,21,1,6
8816,Jeremias Lorch,"CDM, CM, RB",1995-12-02,68,25,1,6
8817,최성근 崔圣根,"CM, CDM",1991-07-28,69,30,1,6
8818,Awdh Khamis Faraj,"LB, CDM",1988-07-15,66,33,1,6
8819,Dante Rigo,"CM, CDM",1998-12-11,69,22,1,6
8820,Simon Eastwood,GK,1989-06-26,66,32,1,6
8821,Eryk Williamson,"CM, CDM",1997-06-11,69,24,1,6
8822,Jeremy Ngakia,"RWB, RB",2000-09-07,66,20,1,6
8823,Đorđe Crnomarković,CB,1993-09-10,68,27,1,6
8824,Jhojan Esmaides Julio Palacios,"CAM, CF",1998-11-02,69,22,1,6
8825,Richard Windbichler,CB,1991-04-02,66,30,1,6
8826,Terrence Anthony Boyd,ST,1991-02-16,66,30,1,6
8827,Fawaz Al Qarni,GK,1992-04-02,66,29,1,6
8828,Jan Zwischenbrugger,"CB, CDM, CM",1990-06-16,66,31,1,6
8829,Boubacar Barry,"RM, RB, CAM",1996-04-15,67,25,1,6
8830,Manuel David Milinković,"LM, LW",1994-05-20,66,27,1,6
8831,Danilo Ezequiel Carando,ST,1988-08-05,66,33,1,6
8832,Murat Yıldırım,"CDM, CM",1987-05-18,66,34,1,6
8833,Robert Taylor,LW,1994-10-21,67,26,1,6
8834,关震,GK,1985-02-06,66,36,1,6
8835,Killian Sardella,"RB, LB",2002-05-02,67,19,1,6
8836,Nicolás Brian Acevedo Tabárez,CDM,1999-04-14,67,22,1,6
8837,César Manuel Carrillo Mejía,"CDM, CM",1992-08-08,66,29,1,6
8838,Marco Kana,"CDM, CB, CM",2002-08-08,67,19,1,6
8839,Jarosław Jach,CB,1994-02-17,68,27,1,6
8840,Martín Ismael Payero,CM,1998-09-11,69,22,1,6
8841,Janio Bikel Figueiredo da Silva,"CDM, CM",1995-06-28,67,26,1,6
8842,Pablo Damián Lavandeira Hernández,CAM,1990-11-05,67,30,1,6
8843,Maksym Koval,GK,1992-12-09,66,28,1,6
8844,David Gil Mohedano,GK,1994-01-11,66,27,1,6
8845,Chris Antônio Farminhão Dias,"CB, RB",1996-02-29,66,25,1,6
8846,Lucas Luciano Medeirão Hoffman,"CAM, RM, CM",1996-02-29,68,25,1,6
8847,Arbnor Muçolli,"LM, CAM",1999-09-15,68,21,1,6
8848,Wouter Biebauw,GK,1984-05-21,66,37,1,6
8849,Luís Miguel Coimbra Aurélio,"CM, CDM",1988-08-17,66,33,1,6
8850,Connor Wood,"LB, LWB",1996-07-17,67,25,1,6
8851,André Luís Silva de Aguiar,ST,1994-03-09,68,27,1,6
8852,Cristian Orlando Vega,"CM, CDM",1993-09-17,69,27,1,6
8853,Santiago Amorín Barrientos,GK,1994-09-09,66,26,1,6
8854,Adrian Dumitru Popa,RW,1988-07-24,66,33,1,6
8855,Fernando Alejandro Manríquez Hernández,CM,1984-02-01,66,37,1,6
8856,Marko Poletanović,"CM, CDM, CAM",1993-07-20,67,28,1,6
8857,Teenage Lingani Hadebe,CB,1995-09-17,68,25,1,6
8858,Francisco José García Torres,"LB, LW",1999-08-14,67,22,1,6
8859,Aleksandar Jovanović,CB,1989-08-04,66,32,1,6
8860,Luciano Alejandro Ospina Londoño,CB,1991-02-18,67,30,1,6
8861,Joel Asoro,"ST, RM",1999-04-27,68,22,1,6
8862,Rafał Boguski,"RM, CDM, LM",1984-06-09,66,37,1,6
8863,Jean-Claude Billong,CB,1993-12-28,68,27,1,6
8864,Nikolay Borislavov Mihaylov,GK,1988-06-28,66,33,1,6
8865,Anders Kvindebjerg Jacobsen,ST,1989-10-27,66,31,1,6
8866,Rafael Enrique Romo Pérez,GK,1990-02-25,66,31,1,6
8867,Gabriel Nicolae Enache,"RW, RB",1990-08-18,66,31,1,6
8868,Jonathan Augustinsson,"LB, CB",1996-03-30,67,25,1,6
8869,Carlos Gutiérrez Estefa,"RM, LM",1999-02-05,67,22,1,6
8870,郑龙,"RW, RM, LM",1988-04-15,66,33,1,6
8871,Sebastiano Esposito,ST,2002-07-02,68,19,1,6
8872,Christian Dorda,LB,1988-12-06,66,32,1,6
8873,Thomas Grøgaard,LB,1994-02-08,67,27,1,6
8874,Wouter Burger,"CM, CDM",2001-02-16,68,20,1,6
8875,Adrià Guerrero Aguilar,"LWB, LB",1998-01-28,66,23,1,6
8876,Josepmir Aarón Ballón Villacorta,"CM, CDM",1988-03-21,67,33,1,6
8877,Mattia Montini,ST,1992-02-28,66,29,1,6
8878,Tom Pearce,LB,1998-04-12,66,23,1,6
8879,Mikael Neville Anderson,"LW, RW",1998-07-01,68,23,1,6
8880,Óscar Boniek García Ramírez,"CM, CDM",1984-09-04,67,36,1,6
8881,Alberto Joshimar Acosta Alvarado,"LB, RB, CM",1988-02-26,66,33,1,6
8882,Dor Hugi,"LW, RW, ST",1995-07-10,68,26,1,6
8883,Daniel Mathias Høegh,CB,1991-01-06,66,30,1,6
8884,Jakub Piotrowski,"CM, CDM",1997-10-04,68,23,1,6
8885,Junior Chukwubuike Adamu,ST,2001-06-06,68,20,1,6
8886,Behrang Safari,"LB, CB",1985-02-09,66,36,1,6
8887,王永珀,"CAM, CM",1987-01-19,66,34,1,6
8888,Carlos Ariel Luna,ST,1982-01-17,66,39,1,6
8889,Jordy José Alcívar Macías,"CDM, CM",1999-05-08,68,22,1,6
8890,Jhonatan Marcelo Candia Hernández,"ST, CF",1995-03-15,68,26,1,6
8891,Harold Andrés Gómez Muñoz,RB,1992-04-21,66,29,1,6
8892,Cenk Ahmet Alkılıç,"RB, RM",1987-12-09,66,33,1,6
8893,Babacar Gueye,ST,1994-12-31,68,26,1,6
8894,Shaun James Whalley,"RW, ST",1987-08-07,66,34,1,6
8895,Marius Kleinsorge,RM,1995-10-30,67,25,1,6
8896,Aurélien Collin,CB,1986-03-08,66,35,1,6
8897,Carlos Augusto Zopolato Neves,"LB, CB",1999-01-07,67,22,1,6
8898,Jake Carroll,LB,1991-08-11,66,30,1,6
8899,Kane Vincent-Young,"RB, LB",1996-03-15,66,25,1,6
8900,Ryan Wintle,"CDM, CM",1997-06-13,67,24,1,6
8901,Mustafa Amini,CM,1993-04-20,67,28,1,6
8902,Matthew Smith,CM,1999-11-22,70,21,1,6
8903,Daniel Hägele,"CB, CDM",1989-02-23,67,32,1,6
8904,Benjamin Girth,ST,1992-01-31,66,29,1,6
8905,Doğan Erdoğan,CM,1996-08-22,68,25,1,6
8906,David Edward Martin,GK,1986-01-22,66,35,1,6
8907,顾操,CB,1988-05-31,66,33,1,6
8908,José Alejandro Rivas Méndez,"ST, RW",1998-09-01,68,22,1,6
8909,Michael O'Neal Covea Uzcátegui,"RM, CM",1993-08-21,66,28,1,6
8910,Lukas Königshofer,GK,1989-03-16,66,32,1,6
8911,Robert O'Shea Salinas,"LB, LM",1986-06-24,66,35,1,6
8912,José María Angresola Jiménez,"LB, LWB, LM",1989-01-24,66,32,1,6
8913,Sefa Yılmaz,"RM, LM",1990-02-14,67,31,1,6
8914,Daniel Schütz,"LM, RM, CM",1991-06-19,66,30,1,6
8915,Mark Travers,GK,1999-05-18,66,22,1,6
8916,Louie Sibley,"CAM, CM",2001-09-01,68,19,1,6
8917,Rodrigo Abascal Barros,"CB, LB",1994-01-14,68,27,1,6
8918,Simon Makienok Christoffersen,ST,1990-11-21,66,30,1,6
8919,Daniel Potts,LB,1994-04-13,67,27,1,6
8920,권완규 权完圭,"RB, CB",1991-11-20,66,29,1,6
8921,Marco Komenda,CB,1996-11-26,68,24,1,6
8922,Chiedozie Ogbene,"RM, LM",1997-05-01,67,24,1,6
8923,Tomasz Makowski,"CDM, CM",1999-07-19,67,22,1,6
8924,Carlo Sickinger,"CDM, CB, CM",1997-07-29,67,24,1,6
8925,Marcel Novick Rettich,CDM,1983-10-11,66,37,1,6
8926,Martin Kobras,GK,1986-06-19,66,35,1,6
8927,Darwin Patricio Cuero Anangonó,GK,1994-10-15,66,26,1,6
8928,Liam Kelly,"CM, CDM",1995-11-22,69,25,1,6
8929,Jean-Pierre Patrick Rhyner,CB,1996-03-16,68,25,1,6
8930,Christopher James Durkin,"CM, CDM, RM",2000-02-08,69,21,1,6
8931,Marcos Jackson Caicedo Caicedo,LM,1991-11-10,66,29,1,6
8932,Vlad Alexandru Achim,CM,1989-04-07,68,32,1,6
8933,Finn-Dominik Porath,"RM, CM, LM",1997-02-23,67,24,1,6
8934,Nahuel Estévez,"CM, RM, CDM",1995-11-14,69,25,1,6
8935,Lalaïna Henintsoa Nomenjanahary,"RM, CM, LM",1986-01-16,66,35,1,6
8936,정동호 丁东浩,"RB, LB",1990-03-07,66,31,1,6
8937,Dominic Hyam,CB,1995-12-20,68,25,1,6
8938,Bryan Alfredo Cabezas Segura,LM,1997-03-20,68,24,1,6
8939,Abass Issah,"ST, LW, RW",1998-09-26,68,22,1,6
8940,Jonathan Panzo,"CB, LB",2000-10-25,68,20,1,6
8941,Emanuel Joel Amoroso,"RM, LM",1988-01-08,66,33,1,6
8942,Diego Alende López,"CB, RB",1997-08-25,68,23,1,6
8943,Maxence Lacroix,CB,2000-04-06,68,21,1,6
8944,Kouadio Manu Koné,CM,2001-05-17,69,20,1,6
8945,Israel Sabdi Jiménez Nañez,RB,1989-08-13,66,32,1,6
8946,Carlos Alberto Caraza Pérez,"RB, RM",1985-11-14,66,35,1,6
8947,Ashton Taylor,CB,1990-09-02,66,30,1,6
8948,Carlos Hernández Alarcón,CB,1990-09-15,66,30,1,6
8949,Kofi Schulz,"LWB, LB, CB",1989-07-21,66,32,1,6
8950,Patric Klandt,GK,1983-09-29,66,37,1,6
8951,Adrián Arregui,"CM, CDM",1992-08-12,68,29,1,6
8952,Tomás Gustavo Andrade,CAM,1996-11-16,68,24,1,6
8953,Chima Akas Uche,"LWB, CB",1994-05-03,66,27,1,6
8954,佐藤 謙介,"CDM, CM",1989-01-19,66,32,1,6
8955,Richard Smallwood,"CDM, CM",1990-12-29,66,30,1,6
8956,Andrés Alexander Flores Mejía,"RM, CM, CDM",1990-08-31,66,30,1,6
8957,Eldin Jakupović,GK,1984-10-02,66,36,1,6
8958,Christian Geovanny Cruz Tapia,LB,1992-01-08,66,29,1,6
8959,谭龙,"LW, RW, ST",1988-04-01,68,33,1,6
8960,Drey Jermaine Wright,RM,1995-04-30,67,26,1,6
8961,Ismaël Chester Diallo,"CB, LB",1997-01-29,68,24,1,6
8962,Cristian Mihai Căpățînă,"CAM, CM",1995-12-16,69,25,1,6
8963,Saad Agouzoul,CB,1997-08-10,68,24,1,6
8964,Brandon Soppy,"RB, CB",2002-02-21,66,19,1,6
8965,Edgar Hernández Marcé,ST,1987-02-02,66,34,1,6
8966,Eirik Ulland Andersen,"LM, RM",1992-09-21,66,28,1,6
8967,Ion Gheorghe,"CAM, RW, LW",1999-10-08,69,21,1,6
8968,Daniel Ángel Cervantes Fraire,CB,1990-06-28,66,31,1,6
8969,Adrian Lis,GK,1992-05-28,66,29,1,6
8970,Lukas Ried,"LM, RM",1995-10-10,67,25,1,6
8971,Timo Perthel,"LB, CB",1989-02-11,66,32,1,6
8972,Daniel Alejandro Hernández González,"CAM, RM",1990-12-10,66,30,1,6
8973,Jacob Brown,"ST, RM",1998-04-10,69,23,1,6
8974,邹正,LB,1988-02-07,66,33,1,6
8975,Cristian Alexandru Albu,"CB, CDM",1993-08-17,68,28,1,6
8976,John-Patrick Strauß,"RWB, RM",1996-01-28,68,25,1,6
8977,Bonke Innocent,"CDM, CM",1996-01-20,67,25,1,6
8978,Steffen Puttkammer,"CB, CDM",1988-09-30,66,32,1,6
8979,Michiel Jonckheere,"CM, LM, CAM",1990-01-03,66,31,1,6
8980,Jann-Fiete Arp,"ST, LM, RM",2000-01-06,68,21,1,6
8981,Alhaji Kamara,ST,1994-04-16,68,27,1,6
8982,Alex Bass,GK,1998-04-01,66,23,1,6
8983,Víctor Álvarez Rozada,RM,1997-09-16,67,23,1,6
8984,Juan Familia-Castillo,"LB, LW",2000-01-13,68,21,1,6
8985,Clinton Mola,LB,2001-03-15,66,20,1,6
8986,Pierre Cornud,LB,1996-12-12,67,24,1,6
8987,Herolind Shala,CM,1992-02-01,68,29,1,6
8988,Héber Pena Picos,"LM, RM",1990-01-16,66,31,1,6
8989,Randal Kolo Muani,"ST, RW, LW",1998-12-05,68,22,1,6
8990,Elliot Gómez López,"LM, RM",1999-06-11,67,22,1,6
8991,Dylan Gissi,"CB, RB",1991-04-27,67,30,1,6
8992,Bård Finne,LW,1995-02-13,67,26,1,6
8993,Luca Clemenza,"CAM, CM",1997-07-09,69,24,1,6
8994,Mathías Nicolás Laborda Malseñido,"CB, RB",1999-09-15,68,21,1,6
8995,Paddy Madden,"ST, LW",1990-03-04,66,31,1,6
8996,Noë Dussenne,CB,1992-04-07,67,29,1,6
8997,Siphelele Leonard Ntshangase,"CAM, CF, CM",1993-05-11,66,28,1,6
8998,Mikel Villanueva Álvarez,"CB, LB",1993-04-14,68,28,1,6
8999,Max Dombrowka,"LB, RB, CDM",1992-03-24,66,29,1,6
9000,Iriome González González,"RM, RW",1987-06-22,66,34,1,6
9001,Adi Nalić,"CF, CAM",1997-12-01,68,23,1,6
9002,Eóin Doyle,ST,1988-03-12,66,33,1,6
9003,Camilo Andrés Ayala Quintero,CDM,1986-06-23,66,35,1,6
9004,Javier Alonso Bello,CDM,1998-08-01,67,23,1,6
9005,Miguel San Román Ferrándiz,GK,1997-07-14,66,24,1,6
9006,Yvo Nahuel Calleros Rébori,CDM,1998-03-14,68,23,1,6
9007,Onur Bulut,"RB, RM, RW",1994-04-16,68,27,1,6
9008,Marcus Harness,RM,1996-02-24,67,25,1,6
9009,Saša Jovanović,"RM, LM, ST",1991-12-15,66,29,1,6
9010,Mohammed Abdullah Salem,CB,1985-08-06,66,36,1,6
9011,Joan Oumari,"CB, CDM",1988-08-19,66,33,1,6
9012,Omenuke Mfulu,"CM, CDM, RB",1994-03-20,70,27,1,6
9013,Reece Oxford,"CB, CDM, RB",1998-12-16,68,22,1,6
9014,Mayron Antonio George Clayton,ST,1993-10-23,67,27,1,6
9015,守田 達弥,GK,1990-08-03,66,31,1,6
9016,Răzvan Constantin Oaidă,"CM, CDM",1998-03-02,68,23,1,6
9017,Mijat Marić,CB,1984-04-30,66,37,1,6
9018,Alexandros Katranis,LB,1998-05-04,66,23,1,6
9019,Rémi Pillot,GK,1990-07-27,66,31,1,6
9020,José Antonio García Rabasco,"CM, CDM",1986-09-29,66,34,1,6
9021,Nuno Caio Cedrim Feitosa,"CAM, RM",1992-02-29,69,29,1,6
9022,Sondre Flem Bjørshol,RB,1994-04-30,67,27,1,6
9023,Magno José da Silva,"RB, RM",1992-01-06,66,29,1,6
9024,Davide Di Gennaro,"CM, CAM",1988-06-16,67,33,1,6
9025,Ian Henderson,ST,1985-01-24,67,36,1,6
9026,Christoffer Aasbak,LB,1993-07-22,66,28,1,6
9027,Louis Bostyn,GK,1993-10-04,66,27,1,6
9028,Simon Handle,"LM, RM, RB",1993-01-25,66,28,1,6
9029,Federico Palacios Martínez,"CAM, ST",1995-04-09,68,26,1,6
9030,David Peter Gray,RB,1988-05-04,66,33,1,6
9031,Bakary Nimaga,"CDM, CM",1994-12-06,68,26,1,6
9032,Rafael Barros Silva,ST,1991-11-24,66,29,1,6
9033,Mateusz Wdowiak,"RM, LM",1996-08-28,67,24,1,6
9034,Patrik Karlsson Lagemyr,"CAM, CM, LM",1996-12-18,68,24,1,6
9035,Jakub Szumski,GK,1992-03-06,66,29,1,6
9036,Andreas Leitner,GK,1994-03-25,66,27,1,6
9037,Johannes Wurtz,"ST, CAM",1992-06-19,66,29,1,6
9038,Philipp Zulechner,"ST, LM",1990-04-12,66,31,1,6
9039,Sessi Octave Emile D'Almeida,CM,1995-11-20,71,25,1,6
9040,Brandon Bye,"RB, LB",1995-11-29,66,25,1,6
9041,Luka Ilić,"CAM, LW",1999-07-02,68,22,1,6
9042,Ersin Destanoğlu,GK,2001-01-01,66,20,1,6
9043,Dario Del Fabro,CB,1995-03-24,68,26,1,6
9044,Charles Junior Monsalvo Peralta,ST,1990-05-26,66,31,1,6
9045,中谷 进之介,CB,1996-03-24,68,25,1,6
9046,Aster Vranckx,"CM, CDM",2002-10-04,68,18,1,6
9047,Leandro Suhr Avondet,"RM, ST, LM",1997-09-24,67,23,1,6
9048,Matías Eduardo Esquivel,CM,1999-03-22,71,22,1,6
